Gene,SRR1174401,SRR1174402,SRR1174403,SRR1174404,SRR1174405,SRR1174406,SRR1174407,SRR1174408,SRR1174409,SRR1174410,SRR1174411,SRR1174412,SRR1174413,SRR1174414,SRR1174415,SRR1174416,SRR1174417
Cre01.g000017,2.281939,1.513348,3.9469,3.007999,7.324545,3.911853,4.089693,3.520682,4.629299,5.463906,2.876601,3.883479,4.668624,5.299278,4.584593,17.67287,5.958454
Cre01.g000033,0.439633,0.6911,0.250337,0.294356,0.265468,0.209347,0.096974,0.184226,0.127867,0.125521,0.057955,0.275752,0.276752,0.226877,0.196945,0,0.243157
Cre01.g000050,2.821931,0.895743,3.300275,3.415498,3.807777,4.661821,5.649999,2.580034,3.147279,2.394555,3.569831,2.44678,2.634278,2.758541,2.382446,1.195484,2.887884
Cre01.g000100,1.924446,0.976377,2.239258,1.912966,2.316735,1.734011,1.823226,1.489971,1.804417,0.849361,1.267949,1.220464,1.276,1.295851,1.261644,0.977325,1.40216
Cre01.g000150,6.673684,28.598041,1.478303,0.073654,0.285632,0.157149,0.231865,0.888421,0.83827,0.645293,0.377045,0.625053,0.661718,0.752197,0.80446,0,1.503698
Cre01.g000200,2.880921,2.686396,3.758158,4.340071,4.227269,4.265213,5.6499,3.537896,3.551223,1.73753,1.40606,2.609053,3.116033,2.934598,3.107858,0.64907,3.352377
Cre01.g000250,9.409636,7.459705,8.535965,11.242638,5.730902,5.65499,7.180974,8.973857,9.17293,7.327011,3.272204,4.417553,4.017049,3.767537,3.712435,0,3.268768
Cre01.g000300,4.249345,9.225929,5.210952,7.25894,10.103336,14.276341,23.290586,29.398325,35.892324,34.069252,13.841898,12.145182,13.255572,14.824215,15.11075,6.581957,15.52712
Cre01.g000350,18.423268,20.098309,16.816082,12.152825,5.805917,9.624222,11.433883,12.689075,12.72695,10.555524,10.864403,11.728651,9.744731,9.335223,7.893501,4.052512,8.934342
Cre01.g000400,4.501292,2.462603,2.688536,8.683763,9.21306,4.149656,3.728689,2.598056,4.26383,3.109135,1.565657,2.096912,2.058948,2.744909,2.0396,1.605112,2.907338
Cre01.g000450,6.711623,2.949161,6.625947,14.142961,11.837511,8.011508,8.037972,7.228033,6.898099,6.319469,8.805658,9.694139,8.475967,7.506237,6.321871,6.122718,7.41534
Cre01.g000500,0.672926,0.425023,0.689725,1.062029,1.158069,0.865181,0.699756,0.999769,0.973006,0.905751,2.052998,1.457779,1.19015,1.246452,0.935788,0,0.985544
Cre01.g000550,0.019954,0,0,0,0.108439,0.034206,0.044013,0.006841,0.015669,0.009322,0,0.026503,0.025122,0.034753,0.01522,0,0.010642
Cre01.g000600,6.421211,4.367642,8.468511,2.705867,7.381949,11.026913,13.331813,6.697001,7.557904,7.625891,12.106856,4.532915,6.840657,7.01271,6.233687,2.225686,7.703531
